<DATE>;<BALANCE>
20/06/2019;9517.12
21/06/2019;10159.86
22/06/2019;10729.5
23/06/2019;10906.07
24/06/2019;11056.59
25/06/2019;11820.86
26/06/2019;13093.8
27/06/2019;11329.99
28/06/2019;12400.63
29/06/2019;11903.13
30/06/2019;10854.1
01/07/2019;10624.93
02/07/2019;10842.85
03/07/2019;11940.0
04/07/2019;11145.67
05/07/2019;10970.73
06/07/2019;11256.49
07/07/2019;11406.24
08/07/2019;12238.6
09/07/2019;12543.41
10/07/2019;12108.37
11/07/2019;11342.89
12/07/2019;11757.22
13/07/2019;11355.76
14/07/2019;10174.18
15/07/2019;10838.72
16/07/2019;9439.59
17/07/2019;9667.92
18/07/2019;10627.16
19/07/2019;10504.29
20/07/2019;10740.23
21/07/2019;10589.45
22/07/2019;10340.31
23/07/2019;9864.91
24/07/2019;9763.28
25/07/2019;9879.87
26/07/2019;9824.0
27/07/2019;9476.52
28/07/2019;9541.54
29/07/2019;9507.64
30/07/2019;9574.21
31/07/2019;10080.53
01/08/2019;10374.99
02/08/2019;10523.75
03/08/2019;10816.86
04/08/2019;10929.23
05/08/2019;11828.8
06/08/2019;11481.69
07/08/2019;11975.03
08/08/2019;11999.77
09/08/2019;11879.99
10/08/2019;11309.31
11/08/2019;11549.97
12/08/2019;11396.08
13/08/2019;10892.71
14/08/2019;10050.37
15/08/2019;10293.93
16/08/2019;10331.54
17/08/2019;10216.02
18/08/2019;10306.78
19/08/2019;10915.54
20/08/2019;10760.51
21/08/2019;10142.57
22/08/2019;10099.88
23/08/2019;10389.55
24/08/2019;10134.35
25/08/2019;10142.69
26/08/2019;10372.25
27/08/2019;10185.05
28/08/2019;9721.0
29/08/2019;9498.44
30/08/2019;9584.54
31/08/2019;9587.47
01/09/2019;9724.98
02/09/2019;10340.0
03/09/2019;10615.28
04/09/2019;10567.02
05/09/2019;10564.49
06/09/2019;10298.73
07/09/2019;10455.88
08/09/2019;10381.18
09/09/2019;10303.12
10/09/2019;10098.15
11/09/2019;10158.33
12/09/2019;10415.01
13/09/2019;10342.06
14/09/2019;10335.02
15/09/2019;10302.01
16/09/2019;10251.31
17/09/2019;10187.82
18/09/2019;10156.99
19/09/2019;10244.29
20/09/2019;10168.59
21/09/2019;9986.39
22/09/2019;10028.87
23/09/2019;9702.25
24/09/2019;8493.14
25/09/2019;8430.05
26/09/2019;8063.73
27/09/2019;8177.91
28/09/2019;8198.81
29/09/2019;8043.82
30/09/2019;8289.34
01/10/2019;8292.44
02/10/2019;8359.94
03/10/2019;8223.96
04/10/2019;8137.13
05/10/2019;8126.19
06/10/2019;7854.25
07/10/2019;8190.09
08/10/2019;8168.39
09/10/2019;8560.74
10/10/2019;8558.03
11/10/2019;8258.5
12/10/2019;8300.09
13/10/2019;8275.01
14/10/2019;8348.2
15/10/2019;8159.29
16/10/2019;7991.74
17/10/2019;8070.58
18/10/2019;7947.01
19/10/2019;7948.01
20/10/2019;8223.35
21/10/2019;8197.27
22/10/2019;8020.0
23/10/2019;7466.62
24/10/2019;7412.41
25/10/2019;8655.02
26/10/2019;9230.0
27/10/2019;9529.93
28/10/2019;9205.14
29/10/2019;9407.62
30/10/2019;9154.72
31/10/2019;9140.85
01/11/2019;9231.61
02/11/2019;9289.52
03/11/2019;9194.71
04/11/2019;9393.35
05/11/2019;9308.66
06/11/2019;9339.05
07/11/2019;9216.2
08/11/2019;8773.73
09/11/2019;8809.41
10/11/2019;9039.47
11/11/2019;8733.27
12/11/2019;8821.94
13/11/2019;8777.12
14/11/2019;8646.68
15/11/2019;8471.73
16/11/2019;8491.02
17/11/2019;8502.4
18/11/2019;8187.17
19/11/2019;8133.64
20/11/2019;8098.01
21/11/2019;7627.74
22/11/2019;7268.23
23/11/2019;7311.57
24/11/2019;6903.28
25/11/2019;7109.57
26/11/2019;7156.14
27/11/2019;7508.52
28/11/2019;7419.49
29/11/2019;7739.68
30/11/2019;7541.89
01/12/2019;7390.89
02/12/2019;7294.28
03/12/2019;7292.71
04/12/2019;7194.32
05/12/2019;7389.0
06/12/2019;7527.47
07/12/2019;7488.21
08/12/2019;7510.11
09/12/2019;7338.64
10/12/2019;7224.13
11/12/2019;7210.0
12/12/2019;7198.08
13/12/2019;7258.48
14/12/2019;7064.05
15/12/2019;7118.59
16/12/2019;6891.72
17/12/2019;6623.82
18/12/2019;7277.83
19/12/2019;7150.3
20/12/2019;7187.83
21/12/2019;7132.75
22/12/2019;7501.44
23/12/2019;7317.09
24/12/2019;7255.77
25/12/2019;7204.63
26/12/2019;7202.0
27/12/2019;7254.74
28/12/2019;7316.14
29/12/2019;7388.24
30/12/2019;7246.0
31/12/2019;7195.23
01/01/2020;7200.85
02/01/2020;6965.71
03/01/2020;7344.96
04/01/2020;7354.11
05/01/2020;7358.75
06/01/2020;7758.0
07/01/2020;8145.28
08/01/2020;8055.98
09/01/2020;7817.76
10/01/2020;8197.02
11/01/2020;8020.01
12/01/2020;8184.98
13/01/2020;8110.34
14/01/2020;8810.01
15/01/2020;8821.41
16/01/2020;8720.01
17/01/2020;8913.28
18/01/2020;8915.96
19/01/2020;8701.7
20/01/2020;8642.35
21/01/2020;8736.03
22/01/2020;8682.36
23/01/2020;8404.52
24/01/2020;8439.0
25/01/2020;8340.58
26/01/2020;8615.0
27/01/2020;8907.57
28/01/2020;9374.21
29/01/2020;9301.53
30/01/2020;9513.21
31/01/2020;9352.89
01/02/2020;9384.61
02/02/2020;9331.51
03/02/2020;9292.24
04/02/2020;9197.02
05/02/2020;9612.04
06/02/2020;9772.0
07/02/2020;9813.73
08/02/2020;9895.05
09/02/2020;10151.75
10/02/2020;9851.83
11/02/2020;10223.08
12/02/2020;10326.46
13/02/2020;10229.63
14/02/2020;10344.36
15/02/2020;9904.72
16/02/2020;9917.27
17/02/2020;9706.0
18/02/2020;10164.71
19/02/2020;9593.79
20/02/2020;9596.42
21/02/2020;9677.05
22/02/2020;9650.86
23/02/2020;9936.4
24/02/2020;9656.13
25/02/2020;9315.84
26/02/2020;8785.25
27/02/2020;8823.21
28/02/2020;8692.91
29/02/2020;8523.61
01/03/2020;8531.88
02/03/2020;8915.24
03/03/2020;8760.07
04/03/2020;8750.87
05/03/2020;9054.68
06/03/2020;9131.88
07/03/2020;8886.66
08/03/2020;8033.31
09/03/2020;7929.87
10/03/2020;7894.56
11/03/2020;7934.52
12/03/2020;4800.0
13/03/2020;5578.6
14/03/2020;5172.06
15/03/2020;5361.3
16/03/2020;5028.97
17/03/2020;5312.64
